ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
1.00000 0.89600 0.10909 1.19786 1.29918 11.81428 0.0 9815.6 0.00000 0.00000 
1.00000 0.90400 0.11158 1.20879 1.31225 11.80607 0.0 9870.6 0.00000 0.00000 
1.00000 0.91200 0.11410 1.21961 1.32521 11.79785 0.0 9925.0 0.00000 0.00000 
1.00000 0.92000 0.11665 1.23031 1.33806 11.78960 0.0 9978.9 0.00000 0.00000 
1.00000 0.92800 0.11923 1.24089 1.35079 11.78134 0.0 10032.3 0.00000 0.00000 
1.00000 0.93600 0.12184 1.25135 1.36341 11.77305 0.0 10085.1 0.00000 0.00000 
1.00000 0.94400 0.12448 1.26170 1.37592 11.76473 0.0 10137.5 0.00000 0.00000 
1.00000 0.95200 0.12715 1.27193 1.38831 11.75638 0.0 10189.4 0.00000 0.00000 
1.00000 0.96000 0.12985 1.28205 1.40059 11.74799 0.0 10240.8 0.00000 0.00000 
1.00000 0.96800 0.13257 1.29206 1.41275 11.73957 0.0 10291.7 0.00000 0.00000 
1.00000 0.97600 0.13533 1.30195 1.42480 11.73112 0.0 10342.2 0.00000 0.00000 
1.00000 0.98400 0.13811 1.31172 1.43673 11.72264 0.0 10392.2 0.00000 0.00000 
1.00000 0.99200 0.14093 1.32135 1.44851 11.71415 0.0 10441.6 0.00000 0.00000 
1.00000 1.00000 0.14377 1.33085 1.46015 11.70564 0.0 10490.5 0.00000 0.00000 
1.00000 1.00800 0.14664 1.34072 1.47226 11.69872 0.0 10538.0 0.00000 0.00000 
1.00000 1.01600 0.14954 1.35002 1.48370 11.69013 0.0 10586.1 0.00000 0.00000 
1.00000 1.02400 0.15247 1.35875 1.49446 11.67988 0.0 10635.0 0.00000 0.00000 
1.00000 1.03200 0.15543 1.36841 1.50641 11.67302 0.0 10681.3 0.00000 0.00000 
1.00000 1.04000 0.15842 1.37754 1.51776 11.66429 0.0 10728.9 0.00000 0.00000 
1.00000 1.04800 0.16143 1.38602 1.52834 11.65342 0.0 10777.8 0.00000 0.00000 
1.00000 1.05600 0.16447 1.39499 1.53958 11.64443 0.0 10825.2 0.00000 0.00000 
1.00000 1.06400 0.16755 1.40386 1.55072 11.63539 0.0 10872.3 0.00000 0.00000 
1.00000 1.07200 0.17064 1.41263 1.56176 11.62632 0.0 10919.1 0.00000 0.00000 
1.00000 1.08000 0.17377 1.42129 1.57269 11.61723 0.0 10965.4 0.00000 0.00000 
1.00000 1.08800 0.17693 1.42982 1.58346 11.60814 0.0 11011.2 0.00000 0.00000 
1.00000 1.09600 0.18011 1.43812 1.59392 11.59913 0.0 11056.1 0.00000 0.00000 
1.00000 1.10400 0.18332 1.44630 1.60424 11.59014 0.0 11100.4 0.00000 0.00000 
1.00000 1.11200 0.18656 1.45435 1.61441 11.58116 0.0 11144.2 0.00000 0.00000 
1.00000 1.12000 0.18983 1.46228 1.62443 11.57215 0.0 11187.6 0.00000 0.00000 
1.00000 1.12800 0.19312 1.47009 1.63432 11.56315 0.0 11230.5 0.00000 0.00000 
1.00000 1.13600 0.19645 1.47779 1.64408 11.55413 0.0 11273.1 0.00000 0.00000 
1.00000 1.14400 0.19979 1.48538 1.65371 11.54510 0.0 11315.3 0.00000 0.00000 
1.00000 1.15200 0.20317 1.49287 1.66325 11.53604 0.0 11357.2 0.00000 0.00000 
1.00000 1.16000 0.20657 1.50028 1.67269 11.52695 0.0 11398.8 0.00000 0.00000 
1.00000 1.16800 0.21000 1.50759 1.68202 11.51785 0.0 11440.0 0.00000 0.00000 
1.00000 1.17600 0.21346 1.51479 1.69124 11.50873 0.0 11481.0 0.00000 0.00000 
1.00000 1.18400 0.21695 1.52190 1.70035 11.49961 0.0 11521.6 0.00000 0.00000 
1.00000 1.19200 0.22046 1.52891 1.70934 11.49045 0.0 11561.9 0.00000 0.00000 
1.00000 1.20000 0.22400 1.53582 1.71823 11.48130 0.0 11601.9 0.00000 0.00000 
1.00000 1.20800 0.22756 1.54264 1.72701 11.47212 0.0 11641.5 0.00000 0.00000 
1.00000 1.21600 0.23115 1.54936 1.73567 11.46293 0.0 11680.9 0.00000 0.00000 
1.00000 1.22400 0.23477 1.55598 1.74424 11.45373 0.0 11720.0 0.00000 0.00000 
1.00000 1.23200 0.23842 1.56253 1.75270 11.44454 0.0 11758.7 0.00000 0.00000 
1.00000 1.24000 0.24209 1.56897 1.76105 11.43533 0.0 11797.2 0.00000 0.00000 
1.00000 1.24800 0.24579 1.57533 1.76930 11.42610 0.0 11835.4 0.00000 0.00000 
1.00000 1.25600 0.24951 1.58160 1.77745 11.41688 0.0 11873.3 0.00000 0.00000 
1.00000 1.26400 0.25326 1.58777 1.78548 11.40762 0.0 11910.9 0.00000 0.00000 
1.00000 1.27200 0.25703 1.59386 1.79343 11.39838 0.0 11948.3 0.00000 0.00000 
1.00000 1.28000 0.26083 1.59987 1.80127 11.38914 0.0 11985.3 0.00000 0.00000 
1.00000 1.28800 0.26466 1.60580 1.80902 11.37990 0.0 12022.1 0.00000 0.00000 
1.00000 1.29600 0.26851 1.61163 1.81666 11.37063 0.0 12058.7 0.00000 0.00000 
1.00000 1.30400 0.27239 1.61739 1.82421 11.36138 0.0 12094.9 0.00000 0.00000 
1.00000 1.31200 0.27629 1.62306 1.83166 11.35212 0.0 12130.9 0.00000 0.00000 
1.00000 1.32000 0.28022 1.62865 1.83902 11.34286 0.0 12166.7 0.00000 0.00000 
1.00000 1.32800 0.28418 1.63416 1.84627 11.33360 0.0 12202.2 0.00000 0.00000 
1.00000 1.33600 0.28815 1.63960 1.85344 11.32434 0.0 12237.5 0.00000 0.00000 
1.00000 1.34400 0.29216 1.64495 1.86052 11.31508 0.0 12272.5 0.00000 0.00000 
1.00000 1.35200 0.29619 1.65023 1.86750 11.30582 0.0 12307.2 0.00000 0.00000 
1.00000 1.36000 0.30024 1.65544 1.87440 11.29657 0.0 12341.8 0.00000 0.00000 
1.00000 1.36800 0.30432 1.66057 1.88121 11.28732 0.0 12376.1 0.00000 0.00000 
1.00000 1.37600 0.30842 1.66563 1.88793 11.27807 0.0 12410.1 0.00000 0.00000 
1.00000 1.38400 0.31255 1.67059 1.89453 11.26878 0.0 12444.0 0.00000 0.00000 
1.00000 1.39200 0.31670 1.67552 1.90109 11.25958 0.0 12477.6 0.00000 0.00000 
1.00000 1.40000 0.32087 1.68037 1.90756 11.25035 0.0 12511.0 0.00000 0.00000 
1.00000 1.40800 0.32507 1.68513 1.91392 11.24110 0.0 12544.2 0.00000 0.00000 
1.00000 1.41600 0.32930 1.68984 1.92022 11.23189 0.0 12577.1 0.00000 0.00000 
1.00000 1.42400 0.33355 1.69446 1.92641 11.22264 0.0 12609.9 0.00000 0.00000 
1.00000 1.43200 0.33782 1.69905 1.93256 11.21347 0.0 12642.4 0.00000 0.00000 
1.00000 1.44000 0.34211 1.70354 1.93860 11.20426 0.0 12674.7 0.00000 0.00000 
1.00000 1.44800 0.34643 1.70798 1.94456 11.19507 0.0 12706.8 0.00000 0.00000 
1.00000 1.45600 0.35078 1.71235 1.95045 11.18588 0.0 12738.7 0.00000 0.00000 
1.00000 1.46400 0.35515 1.71667 1.95627 11.17674 0.0 12770.4 0.00000 0.00000 
1.00000 1.47200 0.35954 1.72091 1.96200 11.16757 0.0 12801.9 0.00000 0.00000 
1.00000 1.48000 0.36395 1.72509 1.96764 11.15842 0.0 12833.2 0.00000 0.00000 
1.00000 1.48800 0.36839 1.72921 1.97321 11.14929 0.0 12864.3 0.00000 0.00000 
1.00000 1.49600 0.37285 1.73327 1.97870 11.14017 0.0 12895.2 0.00000 0.00000 
