ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.83391 1.48800 0.36839 1.86827 2.13137 12.04220 6283.0 11751.5 2.08155 0.42635 
0.83489 1.49600 0.37285 1.87155 2.13602 12.02442 6283.0 11785.4 2.08287 0.42512 
0.83587 1.50400 0.37733 1.87478 2.14059 12.00680 6282.9 11819.1 2.08413 0.42391 
0.83683 1.51200 0.38184 1.87796 2.14511 11.98935 6282.9 11852.6 2.08532 0.42272 
0.83778 1.52000 0.38636 1.88110 2.14957 11.97207 6283.0 11885.7 2.08646 0.42154 
0.83871 1.52800 0.39092 1.88418 2.15396 11.95494 6283.1 11918.6 2.08754 0.42038 
0.83964 1.53600 0.39549 1.88719 2.15826 11.93789 6283.1 11951.4 2.08852 0.41924 
0.84055 1.54400 0.40009 1.89018 2.16252 11.92105 6283.1 11983.8 2.08947 0.41811 
0.84145 1.55200 0.40471 1.89312 2.16672 11.90436 6283.1 12016.0 2.09037 0.41699 
0.84234 1.56000 0.40935 1.89601 2.17087 11.88782 6283.1 12048.0 2.09121 0.41589 
0.84322 1.56800 0.41401 1.89886 2.17496 11.87142 6283.2 12079.7 2.09200 0.41480 
0.84409 1.57600 0.41870 1.90167 2.17899 11.85515 6283.3 12111.3 2.09273 0.41373 
0.84494 1.58400 0.42340 1.90442 2.18296 11.83901 6283.3 12142.6 2.09341 0.41267 
0.84579 1.59200 0.42813 1.90714 2.18687 11.82301 6283.3 12173.6 2.09403 0.41162 
0.84663 1.60000 0.43288 1.90980 2.19072 11.80712 6283.2 12204.5 2.09459 0.41057 
0.84746 1.60800 0.43766 1.91242 2.19451 11.79137 6283.1 12235.2 2.09510 0.40954 
0.84828 1.61600 0.44245 1.91500 2.19824 11.77576 6283.1 12265.6 2.09556 0.40853 
0.84909 1.62400 0.44727 1.91755 2.20194 11.76028 6283.2 12295.8 2.09599 0.40753 
0.84989 1.63200 0.45211 1.92003 2.20554 11.74484 6283.2 12325.9 2.09634 0.40655 
0.85067 1.64000 0.45697 1.92242 2.20903 11.72946 6283.4 12355.8 2.09660 0.40560 
0.85143 1.64800 0.46185 1.92485 2.21256 11.71442 6283.6 12385.3 2.09691 0.40465 
0.85219 1.65600 0.46675 1.92724 2.21603 11.69950 6283.8 12414.7 2.09718 0.40372 
0.85293 1.66400 0.47167 1.92956 2.21942 11.68462 6284.0 12443.9 2.09737 0.40279 
0.85367 1.67200 0.47662 1.93187 2.22278 11.66991 6284.1 12472.8 2.09754 0.40187 
0.85440 1.68000 0.48158 1.93413 2.22609 11.65530 6284.2 12501.5 2.09766 0.40096 
0.85512 1.68800 0.48657 1.93636 2.22936 11.64080 6284.2 12530.1 2.09774 0.40005 
0.85582 1.69600 0.49158 1.93856 2.23257 11.62640 6284.2 12558.5 2.09778 0.39916 
0.85652 1.70400 0.49661 1.94071 2.23574 11.61211 6284.3 12586.7 2.09778 0.39827 
0.85722 1.71200 0.50165 1.94283 2.23885 11.59793 6284.3 12614.8 2.09773 0.39739 
0.85790 1.72000 0.50672 1.94491 2.24192 11.58385 6284.2 12642.6 2.09764 0.39652 
0.85857 1.72800 0.51181 1.94696 2.24493 11.56987 6284.2 12670.3 2.09751 0.39566 
0.85924 1.73600 0.51692 1.94897 2.24791 11.55598 6284.2 12697.8 2.09734 0.39481 
0.85990 1.74400 0.52205 1.95095 2.25083 11.54220 6284.1 12725.1 2.09714 0.39397 
0.86055 1.75200 0.52720 1.95290 2.25371 11.52851 6284.1 12752.3 2.09690 0.39314 
0.86120 1.76000 0.53237 1.95481 2.25655 11.51492 6284.1 12779.3 2.09662 0.39232 
0.86183 1.76800 0.53756 1.95670 2.25935 11.50143 6284.1 12806.1 2.09632 0.39150 
0.86246 1.77600 0.54277 1.95855 2.26210 11.48802 6284.0 12832.7 2.09597 0.39070 
0.86308 1.78400 0.54800 1.96036 2.26480 11.47471 6284.0 12859.2 2.09559 0.38990 
0.86370 1.79200 0.55325 1.96215 2.26747 11.46149 6283.9 12885.6 2.09517 0.38911 
0.86431 1.80000 0.55851 1.96388 2.27005 11.44829 6283.8 12911.8 2.09468 0.38833 
0.86491 1.80800 0.56380 1.96560 2.27263 11.43525 6283.7 12937.8 2.09420 0.38755 
0.86550 1.81600 0.56911 1.96730 2.27517 11.42230 6283.7 12963.7 2.09369 0.38679 
0.86609 1.82400 0.57443 1.96897 2.27768 11.40943 6283.6 12989.4 2.09315 0.38603 
0.86667 1.83200 0.57978 1.97061 2.28014 11.39665 6283.6 13014.9 2.09257 0.38528 
0.86724 1.84000 0.58515 1.97223 2.28257 11.38395 6283.6 13040.3 2.09197 0.38454 
0.86781 1.84800 0.59053 1.97381 2.28496 11.37134 6283.6 13065.6 2.09134 0.38380 
0.86838 1.85600 0.59593 1.97537 2.28730 11.35881 6283.5 13090.6 2.09067 0.38307 
0.86893 1.86400 0.60135 1.97690 2.28961 11.34636 6283.4 13115.6 2.08998 0.38235 
0.86948 1.87200 0.60679 1.97837 2.29184 11.33392 6283.4 13140.5 2.08923 0.38164 
0.87003 1.88000 0.61225 1.97985 2.29408 11.32163 6283.3 13165.2 2.08848 0.38093 
0.87057 1.88800 0.61773 1.98130 2.29628 11.30942 6283.3 13189.7 2.08771 0.38023 
0.87110 1.89600 0.62323 1.98273 2.29846 11.29730 6283.3 13214.1 2.08692 0.37953 
0.87163 1.90400 0.62874 1.98414 2.30060 11.28525 6283.3 13238.3 2.08611 0.37885 
0.87215 1.91200 0.63428 1.98549 2.30266 11.27321 6283.3 13262.5 2.08523 0.37818 
0.87267 1.92000 0.63983 1.98685 2.30474 11.26132 6283.3 13286.4 2.08437 0.37750 
0.87318 1.92800 0.64540 1.98819 2.30678 11.24951 6283.3 13310.3 2.08349 0.37684 
0.87368 1.93600 0.65099 1.98947 2.30875 11.23773 6283.3 13334.0 2.08256 0.37618 
0.87418 1.94400 0.65659 1.99077 2.31074 11.22609 6283.2 13357.6 2.08165 0.37552 
0.87468 1.95200 0.66222 1.99201 2.31264 11.21444 6283.2 13381.1 2.08066 0.37488 
0.87517 1.96000 0.66786 1.99332 2.31465 11.20308 6283.1 13404.3 2.07978 0.37422 
0.87566 1.96800 0.67352 1.99456 2.31655 11.19167 6283.1 13427.4 2.07882 0.37358 
0.87614 1.97600 0.67920 1.99574 2.31837 11.18024 6283.0 13450.6 2.07778 0.37295 
0.87661 1.98400 0.68489 1.99689 2.32016 11.16887 6282.9 13473.6 2.07672 0.37232 
0.87708 1.99200 0.69061 1.99804 2.32195 11.15763 6282.9 13496.5 2.07567 0.37170 
0.87755 2.00000 0.69634 1.99918 2.32371 11.14645 6282.8 13519.2 2.07460 0.37108 
0.87801 2.00800 0.70209 2.00026 2.32538 11.13526 6282.7 13541.9 2.07348 0.37048 
0.87847 2.01600 0.70785 2.00134 2.32708 11.12421 6282.7 13564.4 2.07236 0.36987 
0.87892 2.02400 0.71363 2.00241 2.32874 11.11322 6282.6 13586.8 2.07124 0.36927 
0.87937 2.03200 0.71943 2.00346 2.33037 11.10230 6282.5 13609.0 2.07009 0.36868 
0.87981 2.04000 0.72525 2.00445 2.33194 11.09138 6282.5 13631.3 2.06889 0.36810 
0.88025 2.04800 0.73109 2.00546 2.33351 11.08058 6282.4 13653.3 2.06771 0.36752 
0.88069 2.05600 0.73694 2.00645 2.33506 11.06984 6282.4 13675.2 2.06652 0.36694 
0.88112 2.06400 0.74280 2.00742 2.33659 11.05917 6282.4 13697.0 2.06530 0.36637 
0.88155 2.07200 0.74869 2.00837 2.33809 11.04855 6282.4 13718.7 2.06407 0.36581 
0.88197 2.08000 0.75459 2.00930 2.33955 11.03801 6282.4 13740.3 2.06283 0.36525 
0.88239 2.08800 0.76051 2.01021 2.34100 11.02752 6282.4 13761.8 2.06156 0.36469 
0.88281 2.09600 0.76644 2.01110 2.34241 11.01709 6282.4 13783.1 2.06029 0.36414 
0.88322 2.10400 0.77239 2.01198 2.34380 11.00672 6282.4 13804.3 2.05899 0.36360 
0.88363 2.11200 0.77836 2.01284 2.34517 10.99641 6282.4 13825.5 2.05768 0.36306 
0.88403 2.12000 0.78434 2.01365 2.34647 10.98609 6282.4 13846.6 2.05634 0.36253 
0.88444 2.12800 0.79034 2.01447 2.34778 10.97589 6282.5 13867.5 2.05500 0.36200 
0.88483 2.13600 0.79636 2.01528 2.34907 10.96575 6282.5 13888.3 2.05364 0.36147 
0.88523 2.14400 0.80239 2.01607 2.35033 10.95566 6282.6 13909.0 2.05228 0.36095 
0.88562 2.15200 0.80844 2.01685 2.35158 10.94563 6282.7 13929.6 2.05090 0.36044 
0.88601 2.16000 0.81450 2.01761 2.35280 10.93565 6282.7 13950.1 2.04951 0.35993 
0.88639 2.16800 0.82058 2.01835 2.35399 10.92573 6282.8 13970.4 2.04810 0.35942 
0.88677 2.17600 0.82668 2.01908 2.35517 10.91586 6282.9 13990.7 2.04669 0.35892 
