ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.79282 1.27600 0.25893 1.76903 1.99206 12.65698 6409.2 10682.5 2.04675 0.47697 
0.79297 1.28400 0.26274 1.77522 2.00016 12.64294 6429.7 10716.6 2.05399 0.47684 
0.79312 1.29200 0.26658 1.78132 2.00815 12.62892 6450.0 10750.4 2.06108 0.47671 
0.79327 1.30000 0.27045 1.78733 2.01604 12.61494 6470.2 10784.0 2.06802 0.47659 
0.79342 1.30800 0.27434 1.79325 2.02381 12.60100 6490.3 10817.3 2.07480 0.47648 
0.79356 1.31600 0.27825 1.79908 2.03148 12.58710 6510.2 10850.4 2.08143 0.47637 
0.79371 1.32400 0.28220 1.80482 2.03906 12.57324 6530.0 10883.3 2.08793 0.47626 
0.79386 1.33200 0.28616 1.81048 2.04653 12.55943 6549.7 10916.1 2.09430 0.47616 
0.79400 1.34000 0.29015 1.81606 2.05391 12.54566 6569.2 10948.6 2.10053 0.47607 
0.79415 1.34800 0.29417 1.82156 2.06119 12.53193 6588.6 10980.9 2.10663 0.47597 
0.79429 1.35600 0.29821 1.82697 2.06837 12.51824 6607.9 11013.0 2.11259 0.47589 
0.79444 1.36400 0.30227 1.83230 2.07545 12.50460 6627.0 11044.9 2.11842 0.47580 
0.79458 1.37200 0.30636 1.83755 2.08244 12.49099 6646.1 11076.5 2.12411 0.47572 
0.79473 1.38000 0.31048 1.84269 2.08929 12.47736 6665.0 11108.1 2.12964 0.47565 
0.79487 1.38800 0.31462 1.84778 2.09609 12.46382 6683.7 11139.4 2.13506 0.47557 
0.79502 1.39600 0.31878 1.85279 2.10279 12.45031 6702.4 11170.4 2.14035 0.47549 
0.79517 1.40400 0.32297 1.85772 2.10938 12.43682 6720.8 11201.3 2.14550 0.47542 
0.79532 1.41200 0.32718 1.86257 2.11589 12.42336 6739.2 11232.0 2.15050 0.47534 
0.79547 1.42000 0.33142 1.86735 2.12229 12.40993 6757.4 11262.4 2.15537 0.47527 
0.79562 1.42800 0.33568 1.87205 2.12861 12.39653 6775.5 11292.7 2.16011 0.47520 
0.79577 1.43600 0.33996 1.87667 2.13483 12.38316 6793.6 11322.7 2.16471 0.47513 
0.79592 1.44400 0.34427 1.88122 2.14096 12.36982 6811.4 11352.5 2.16919 0.47506 
0.79607 1.45200 0.34860 1.88570 2.14700 12.35652 6829.2 11382.2 2.17354 0.47499 
0.79623 1.46000 0.35296 1.89010 2.15296 12.34324 6846.9 11411.6 2.17776 0.47492 
0.79638 1.46800 0.35734 1.89444 2.15882 12.33001 6864.4 11440.9 2.18186 0.47485 
0.79654 1.47600 0.36174 1.89870 2.16460 12.31681 6881.8 11469.9 2.18584 0.47478 
0.79670 1.48400 0.36617 1.90290 2.17029 12.30363 6899.1 11498.8 2.18969 0.47472 
0.79685 1.49200 0.37061 1.90703 2.17590 12.29051 6916.3 11527.5 2.19344 0.47465 
0.79701 1.50000 0.37509 1.91109 2.18143 12.27744 6933.5 11556.0 2.19708 0.47459 
0.79716 1.50800 0.37958 1.91509 2.18688 12.26442 6950.5 11584.4 2.20061 0.47454 
0.79732 1.51600 0.38410 1.91903 2.19224 12.25144 6967.5 11612.5 2.20403 0.47448 
0.79747 1.52400 0.38864 1.92291 2.19753 12.23850 6984.4 11640.5 2.20734 0.47442 
0.79763 1.53200 0.39320 1.92672 2.20274 12.22560 7001.1 11668.3 2.21055 0.47437 
0.79779 1.54000 0.39779 1.93047 2.20787 12.21275 7017.7 11695.9 2.21365 0.47432 
0.79794 1.54800 0.40239 1.93416 2.21293 12.19993 7034.3 11723.3 2.21666 0.47426 
0.79810 1.55600 0.40702 1.93779 2.21791 12.18715 7050.7 11750.6 2.21956 0.47421 
0.79826 1.56400 0.41168 1.94136 2.22281 12.17441 7067.0 11777.8 2.22237 0.47416 
0.79841 1.57200 0.41635 1.94487 2.22764 12.16171 7083.2 11804.8 2.22507 0.47411 
0.79857 1.58000 0.42105 1.94829 2.23236 12.14896 7099.2 11831.7 2.22765 0.47406 
0.79873 1.58800 0.42577 1.95169 2.23704 12.13635 7115.2 11858.3 2.23017 0.47401 
0.79888 1.59600 0.43051 1.95503 2.24165 12.12378 7131.1 11884.8 2.23259 0.47397 
0.79904 1.60400 0.43527 1.95832 2.24619 12.11125 7146.9 11911.2 2.23493 0.47392 
0.79919 1.61200 0.44005 1.96156 2.25067 12.09876 7162.7 11937.4 2.23718 0.47387 
0.79935 1.62000 0.44486 1.96474 2.25507 12.08633 7178.3 11963.4 2.23934 0.47383 
0.79950 1.62800 0.44969 1.96787 2.25941 12.07393 7193.8 11989.3 2.24142 0.47378 
0.79966 1.63600 0.45454 1.97095 2.26368 12.06158 7209.2 12015.0 2.24342 0.47374 
