ratio e_15 p_15 M M_0 r_star spin Omega_K I J/M^2 
0.56156 1.25600 0.24951 1.94404 2.18827 15.59826 8192.7 8193.6 2.66404 0.65712 
0.56152 1.26400 0.25326 1.95110 2.19743 15.57721 8222.1 8223.1 2.67394 0.65715 
0.56148 1.27200 0.25703 1.95805 2.20645 15.55620 8251.4 8252.5 2.68359 0.65718 
0.56144 1.28000 0.26083 1.96491 2.21537 15.53536 8280.5 8281.6 2.69303 0.65720 
0.56141 1.28800 0.26466 1.97164 2.22413 15.51446 8309.4 8310.6 2.70221 0.65724 
0.56138 1.29600 0.26851 1.97826 2.23276 15.49359 8338.1 8339.4 2.71114 0.65727 
0.56136 1.30400 0.27239 1.98476 2.24126 15.47278 8366.7 8368.0 2.71982 0.65730 
0.56134 1.31200 0.27629 1.99116 2.24962 15.45205 8395.0 8396.4 2.72826 0.65733 
0.56132 1.32000 0.28022 1.99745 2.25786 15.43139 8423.2 8424.6 2.73647 0.65736 
0.56130 1.32800 0.28418 2.00363 2.26596 15.41081 8451.1 8452.6 2.74444 0.65739 
0.56128 1.33600 0.28815 2.00971 2.27395 15.39030 8478.9 8480.4 2.75219 0.65742 
0.56127 1.34400 0.29216 2.01569 2.28181 15.36988 8506.6 8508.0 2.75972 0.65745 
0.56126 1.35200 0.29619 2.02157 2.28956 15.34951 8534.0 8535.4 2.76704 0.65747 
0.56125 1.36000 0.30024 2.02736 2.29718 15.32920 8561.3 8562.7 2.77416 0.65750 
0.56124 1.36800 0.30432 2.03305 2.30470 15.30896 8588.4 8589.8 2.78108 0.65754 
0.56124 1.37600 0.30842 2.03864 2.31209 15.28882 8615.4 8616.7 2.78779 0.65757 
0.56123 1.38400 0.31255 2.04414 2.31938 15.26880 8642.1 8643.4 2.79431 0.65760 
0.56123 1.39200 0.31670 2.04955 2.32654 15.24881 8668.8 8669.9 2.80062 0.65763 
0.56123 1.40000 0.32087 2.05487 2.33360 15.22888 8695.2 8696.3 2.80674 0.65766 
0.56123 1.40800 0.32507 2.06009 2.34055 15.20902 8721.5 8722.6 2.81268 0.65770 
0.56123 1.41600 0.32930 2.06524 2.34739 15.18922 8747.6 8748.6 2.81844 0.65773 
0.56124 1.42400 0.33355 2.07029 2.35413 15.16948 8773.6 8774.6 2.82401 0.65776 
0.56125 1.43200 0.33782 2.07526 2.36075 15.14980 8799.4 8800.4 2.82941 0.65780 
0.56126 1.44000 0.34211 2.08014 2.36728 15.13019 8825.1 8826.0 2.83463 0.65783 
0.56127 1.44800 0.34643 2.08495 2.37370 15.11065 8850.6 8851.5 2.83968 0.65787 
0.56129 1.45600 0.35078 2.08969 2.38005 15.09128 8875.9 8876.7 2.84459 0.65789 
0.56130 1.46400 0.35515 2.09433 2.38627 15.07188 8901.1 8901.9 2.84931 0.65793 
0.56132 1.47200 0.35954 2.09889 2.39239 15.05256 8926.1 8926.9 2.85385 0.65796 
0.56134 1.48000 0.36395 2.10337 2.39841 15.03330 8951.0 8951.8 2.85822 0.65800 
0.56136 1.48800 0.36839 2.10778 2.40433 15.01411 8975.8 8976.6 2.86244 0.65803 
0.56138 1.49600 0.37285 2.11211 2.41017 14.99499 9000.4 9001.2 2.86650 0.65806 
0.56141 1.50400 0.37733 2.11636 2.41590 14.97595 9024.9 9025.6 2.87041 0.65810 
0.56143 1.51200 0.38184 2.12054 2.42154 14.95700 9049.2 9049.9 2.87417 0.65813 
0.56146 1.52000 0.38636 2.12465 2.42710 14.93812 9073.3 9074.1 2.87778 0.65817 
0.56149 1.52800 0.39092 2.12869 2.43256 14.91933 9097.4 9098.1 2.88124 0.65820 
0.56152 1.53600 0.39549 2.13266 2.43793 14.90061 9121.3 9122.0 2.88456 0.65824 
0.56155 1.54400 0.40009 2.13655 2.44322 14.88197 9145.1 9145.7 2.88774 0.65827 
0.56158 1.55200 0.40471 2.14039 2.44842 14.86344 9168.7 9169.3 2.89078 0.65830 
0.56161 1.56000 0.40935 2.14415 2.45354 14.84496 9192.2 9192.8 2.89369 0.65834 
0.56164 1.56800 0.41401 2.14785 2.45857 14.82654 9215.6 9216.1 2.89647 0.65837 
0.56168 1.57600 0.41870 2.15148 2.46352 14.80821 9238.8 9239.3 2.89912 0.65841 
0.56171 1.58400 0.42340 2.15505 2.46839 14.78997 9261.9 9262.4 2.90165 0.65844 
0.56175 1.59200 0.42813 2.15856 2.47318 14.77181 9284.9 9285.3 2.90405 0.65847 
0.56179 1.60000 0.43288 2.16201 2.47788 14.75373 9307.7 9308.1 2.90633 0.65851 
0.56182 1.60800 0.43766 2.16539 2.48252 14.73572 9330.4 9330.8 2.90850 0.65854 
0.56186 1.61600 0.44245 2.16872 2.48707 14.71779 9353.0 9353.3 2.91056 0.65858 
0.56190 1.62400 0.44727 2.17199 2.49155 14.69994 9375.5 9375.8 2.91251 0.65862 
0.56194 1.63200 0.45211 2.17520 2.49596 14.68217 9397.8 9398.1 2.91435 0.65865 
0.56198 1.64000 0.45697 2.17836 2.50029 14.66447 9420.1 9420.3 2.91608 0.65869 
0.56202 1.64800 0.46185 2.18146 2.50455 14.64685 9442.1 9442.4 2.91771 0.65873 
0.56206 1.65600 0.46675 2.18450 2.50874 14.62932 9464.1 9464.3 2.91923 0.65877 
0.56211 1.66400 0.47167 2.18749 2.51286 14.61186 9486.0 9486.2 2.92066 0.65881 
0.56215 1.67200 0.47662 2.19043 2.51691 14.59448 9507.7 9507.9 2.92199 0.65884 
0.56219 1.68000 0.48158 2.19334 2.52093 14.57726 9529.3 9529.5 2.92326 0.65887 
0.56224 1.68800 0.48657 2.19618 2.52484 14.56004 9550.8 9551.0 2.92441 0.65891 
0.56228 1.69600 0.49158 2.19896 2.52869 14.54289 9572.2 9572.4 2.92546 0.65895 
0.56233 1.70400 0.49661 2.20170 2.53248 14.52582 9593.4 9593.6 2.92642 0.65900 
0.56238 1.71200 0.50165 2.20439 2.53620 14.50882 9614.6 9614.8 2.92730 0.65904 
0.56242 1.72000 0.50672 2.20703 2.53986 14.49191 9635.7 9635.9 2.92809 0.65908 
0.56247 1.72800 0.51181 2.20962 2.54346 14.47507 9656.6 9656.8 2.92880 0.65912 
0.56252 1.73600 0.51692 2.21217 2.54699 14.45833 9677.4 9677.7 2.92941 0.65916 
0.56257 1.74400 0.52205 2.21467 2.55047 14.44165 9698.1 9698.4 2.92994 0.65920 
0.56261 1.75200 0.52720 2.21712 2.55388 14.42504 9718.7 9719.0 2.93039 0.65924 
0.56266 1.76000 0.53237 2.21953 2.55724 14.40852 9739.2 9739.5 2.93077 0.65928 
0.56271 1.76800 0.53756 2.22189 2.56053 14.39209 9759.6 9759.9 2.93106 0.65932 
0.56276 1.77600 0.54277 2.22421 2.56376 14.37572 9779.9 9780.2 2.93127 0.65936 
0.56281 1.78400 0.54800 2.22649 2.56694 14.35944 9800.1 9800.4 2.93141 0.65941 
0.56286 1.79200 0.55325 2.22872 2.57006 14.34323 9820.1 9820.5 2.93147 0.65945 
0.56292 1.80000 0.55851 2.23091 2.57313 14.32709 9840.1 9840.5 2.93146 0.65949 
0.56297 1.80800 0.56380 2.23306 2.57614 14.31103 9860.0 9860.4 2.93138 0.65953 
0.56302 1.81600 0.56911 2.23518 2.57910 14.29505 9879.7 9880.2 2.93123 0.65957 
0.56307 1.82400 0.57443 2.23725 2.58201 14.27914 9899.4 9899.8 2.93101 0.65961 
0.56312 1.83200 0.57978 2.23928 2.58486 14.26330 9918.9 9919.4 2.93072 0.65964 
0.56318 1.84000 0.58515 2.24127 2.58766 14.24754 9938.4 9938.9 2.93036 0.65968 
0.56323 1.84800 0.59053 2.24323 2.59040 14.23185 9957.7 9958.3 2.92994 0.65972 
0.56328 1.85600 0.59593 2.24514 2.59310 14.21624 9977.0 9977.5 2.92945 0.65976 
0.56334 1.86400 0.60135 2.24702 2.59574 14.20070 9996.1 9996.7 2.92889 0.65980 
0.56339 1.87200 0.60679 2.24886 2.59834 14.18524 10015.2 10015.8 2.92828 0.65983 
0.56344 1.88000 0.61225 2.25067 2.60089 14.16985 10034.2 10034.8 2.92761 0.65987 
0.56350 1.88800 0.61773 2.25244 2.60338 14.15454 10053.0 10053.6 2.92687 0.65991 
0.56355 1.89600 0.62323 2.25417 2.60583 14.13929 10071.8 10072.4 2.92607 0.65994 
0.56361 1.90400 0.62874 2.25587 2.60823 14.12412 10090.5 10091.1 2.92522 0.65998 
0.56366 1.91200 0.63428 2.25754 2.61059 14.10901 10109.0 10109.7 2.92431 0.66001 
0.56372 1.92000 0.63983 2.25917 2.61290 14.09399 10127.5 10128.2 2.92335 0.66004 
0.56377 1.92800 0.64540 2.26077 2.61516 14.07904 10145.9 10146.6 2.92233 0.66008 
